Year,Make,Model,Body,Category,0-60,Top Speed,Rating,0_60_sec,TopSpeed_mph
1959-1962,Ferrari,250 GT Pininfarina Cabriolet S...,Convertibl...,Grand Tour...,7.1 secs,126mph,70.0,7.1,126.0
1959-1964,Ferrari,400 Superamerica,Coupe,Grand Tour...,7.2 secs,160mph,76.0,7.2,160.0
1960-1963,Ferrari,250 GT California Spider SWB,Convertibl...,Grand Tour...,7.1 secs,135mph,83.0,7.1,135.0
1960-1963,Ferrari,250 GT SWB,Coupe,Grand Tour...,6.1 secs,140mph,80.0,6.1,140.0
1960-1963,Ferrari,250 GT SWB Competizione,Coupe,Grand Tour...,5.1 secs,150mph,85.0,5.1,150.0
1960-1963,Ferrari,250 GTE,Coupe,Grand Tour...,7.1 secs,140mph,60.0,7.1,140.0
1962-1964,Ferrari,250 GT Lusso,Coupe,Grand Tour...,7.0 secs,140mph,72.0,7.0,140.0
1962-1964,Ferrari,250 GTO,Coupe,Sports-Rac...,4.7 secs,174mph,97.0,4.7,174.0
1963-1965,Ferrari,250 LM,Coupe,Sports-Rac...,5.1 secs,180mph,82.0,5.1,180.0
1963-1967,Ferrari,330 GT 2+2,Coupe,Grand Tour...,7.0 secs,140mph,35.0,7.0,140.0
1964-1966,Ferrari,275 GTB/2,Coupe,Grand Tour...,6.5 secs,155mph,73.0,6.5,155.0
1964-1966,Ferrari,275 GTS,Convertibl...,Grand Tour...,6.8 secs,145mph,72.0,6.8,145.0
1964-1966,Ferrari,500 Superfast,Coupe,Grand Tour...,6.0 secs,174mph,76.0,6.0,174.0
1965-1965,Ferrari,275 GTB/C Series 1,Coupe,Grand Tour...,6.0 secs,160mph,75.0,6.0,160.0
1965-1966,Ferrari,275 GTB/C Series 2,Coupe,Grand Tour...,5.5 secs,165mph,80.0,5.5,165.0
1966-1967,Ferrari,365 California,Convertibl...,Grand Tour...,6.2 secs,152mph,75.0,6.2,152.0
1966-1968,Ferrari,275 GTB/4,Coupe,Grand Tour...,6.2 secs,160mph,75.0,6.2,160.0
1966-1968,Ferrari,330 GTC,Coupe,Grand Tour...,6.5 secs,145mph,68.0,6.5,145.0
1966-1968,Ferrari,330 GTS,Convertibl...,Grand Tour...,6.8 secs,140mph,73.0,6.8,140.0
1967-1968,Ferrari,275 GTB/4 NART Spyder,Convertibl...,Grand Tour...,6.5 secs,155mph,88.0,6.5,155.0
1968-1969,Ferrari,Dino 206 GT,Coupe,Grand Tour...,7.2 secs,142mph,65.0,7.2,142.0
1968-1970,Ferrari,365 GTC,Coupe,Grand Tour...,6.3 secs,152mph,70.0,6.3,152.0
1968-1973,Ferrari,365 GTB/4 'Daytona',Coupe,Grand Tour...,5.5 secs,170mph,70.0,5.5,170.0
1969-1969,Ferrari,365 GTS,Convertibl...,Grand Tour...,6.2 secs,152mph,74.0,6.2,152.0
1969-1973,Ferrari,365 GTS/4 'Daytona' ...,Convertibl...,Grand Tour...,5.9 secs,165mph,75.0,5.9,165.0
1969-1974,Ferrari,Dino 246 GT,Coupe,Grand Tour...,7.5 secs,146mph,60.0,7.5,146.0
1971-1973,Ferrari,365 GTC/4,Coupe,Grand Tour...,7.0 secs,152mph,51.0,7.0,152.0
1972-1974,Ferrari,Dino 246 GTS,Convertibl...,Grand Tour...,7.5 secs,146mph,63.0,7.5,146.0
1973-1976,Ferrari,365 GT4 BB,Coupe,Grand Tour...,5.3 secs,182mph,65.0,5.3,182.0
1973-1980,Ferrari,308 GT4,Coupe,Grand Tour...,5.6 secs,155mph,28.0,5.6,155.0
1975-1985,Ferrari,308 GTB/S,Convertibl...,"Film Star,...",6.6 secs,154mph,32.0,6.6,154.0
1976-1985,Ferrari,512 BB,Coupe,Grand Tour...,6.2 secs,176mph,57.0,6.2,176.0
1984-1985,Ferrari,288 GTO,Coupe,Supercar,4.8 secs,180mph,72.0,4.8,180.0
1984-1996,Ferrari,Testarossa,Coupe,Supercar,5.0 secs,185mph,40.0,5.0,185.0
1985-1989,Ferrari,328 GTB/S,Coupe,Grand Tour...,5.5 secs,165mph,38.0,5.5,165.0
1985-1989,Ferrari,400/412,Coupe,Grand Tour...,7.7 secs,152mph,25.0,7.7,152.0
1988-1992,Ferrari,F40,Coupe,Supercar,3.8 secs,201mph,71.0,3.8,201.0
