Year,Make,Model,Body,Category,0-60,Top Speed,Rating
Sort,Sort,Sort,Sort,Sort,Sort,Sort,Sort
1923-1934,OM,665 Superba,Convertibl...,Grand Tour...,18.0 secs,90mph,64
1968-1973,Opel,GT,Coupe,Popular Cl...,10.8 secs,114mph,28
1948-1956,OSCA,MT-4,"Coupe, Ope...",Sports-Rac...,8.5 secs,132mph,72
1960-1963,OSCA,1600 GT,Coupe,Sports-Rac...,9.9 secs,125mph,58
1972-1981,Panther,J72,Convertibl...,Film Star,6.5 secs,120mph,35
1974-1985,Panther,De Ville,Convertibl...,Film Star,12.0 secs,110mph,35
1977-1978,Panther,Six,Convertibl...,-,6.0 secs,200+mph,65
1951-1958,Pegaso,Z-102,Convertibl...,Grand Tour...,10.2 secs,120-150mph,72
1969-1982,Peugeot,504 Cabriolet,Convertibl...,Popular Cl...,11.0 secs,116mph,33
1984-1984,Peugeot,205 Turbo 16,Saloon,Rally,6.0 secs,130mph,45
1984-1994,Peugeot,205 GTI,Saloon,Popular Cl...,8.7 secs,118-127mph,22
1970-1970,Plymouth,Road Runner Superbird,Saloon,Muscle,5.5 secs,160mph,73
1968-1970,Pontiac,GTO Judge,Coupe,Muscle,6.2 secs,130mph,50
1951-1955,Porsche,356 'Pre-A',Coupe,Grand Tour...,15.4 secs,90-111mph,58
1951-1955,Porsche,356 'Pre-A' Converti...,Convertibl...,Grand Tour...,17.0 secs,90.0mph,60
1953-1955,Porsche,550 Spyder,Open,Sports-Rac...,8.0 secs,140mph,80
1954-1958,Porsche,356 Speedster,Convertibl...,Grand Tour...,10.8 secs,105-110mph,63
1955-1965,Porsche,356A-C Convertible,Convertibl...,Grand Tour...,13.0 secs,105-110mph,55
1955-1965,Porsche,356A-C Coupé,Coupe,Grand Tour...,11.0 secs,110-114mph,48
1956-1959,Porsche,356 Carrera,Convertibl...,Grand Tour...,11.0 secs,115mph,65
1963-1965,Porsche,904,Coupe,Sports-Rac...,5.5 secs,165mph,75
1963-1969,Porsche,911 2.0,Convertibl...,Grand Tour...,9.1 secs,130mph,53
1965-1969,Porsche,912,Coupe,Grand Tour...,12.0 secs,115-120mph,33
1966-1967,Porsche,906,Coupe,Sports-Rac...,5.0 secs,168mph,70
1966-1967,Porsche,910,Coupe,Sports-Rac...,4.8 secs,175mph,72
1967-1968,Porsche,907,Coupe,Sports-Rac...,4.6 secs,190mph,75
1968-1971,Porsche,908,"Coupe, Ope...",Sports-Rac...,4.2 secs,200mph,78
1969-1971,Porsche,911 2.2,Convertibl...,Grand Tour...,8.0 secs,127-143mph,53
1969-1971,Porsche,917K,Coupe,"Film Star,...",3.5 secs,240mph,88
1970-1972,Porsche,914/6,Convertibl...,Grand Tour...,8.7 secs,128mph,48
1972-1973,Porsche,911 2.4,Convertibl...,Grand Tour...,7.9 secs,140mph,55
1972-1973,Porsche,911 Carrera RS 2.7,Coupe,Grand Tour...,5.8 secs,152mph,68
1973-1973,Porsche,911 Carrera RSR 2.8,Coupe,Sports-Rac...,5.6 secs,160mph,76
1973-1974,Porsche,911 Carrera RS 3.0,Coupe,Grand Tour...,5.2 secs,158mph,71
1975-1977,Porsche,911 Turbo 3.0,Coupe,Supercar,4.9 secs,156mph,53
1981-1981,Porsche,924 Carrera GT,Coupe,Grand Tour...,6.9 secs,150mph,58
1987-1988,Porsche,959,Coupe,Supercar,3.6 secs,195mph,70
1987-1989,Porsche,911 Speedster,Convertibl...,Grand Tour...,6.0 secs,150mph,52
1989-1993,Porsche,911 (964),Convertibl...,Grand Tour...,5.7 secs,161mph,30
1991-1992,Porsche,911 (964) Carrera RS,Coupe,Grand Tour...,5.4 secs,162mph,45
1993-1998,Porsche,911 (993),Convertibl...,Grand Tour...,5.4 secs,171mph,31
1995-1996,Porsche,911 (993) Carrera RS,Coupe,Grand Tour...,5.0 secs,172mph,50
1995-1997,Porsche,911 (993) Turbo,Coupe,Grand Tour...,4.4 secs,180mph,54
1995-1998,Porsche,GT2,Coupe,Supercar,3.9 secs,187mph,65
1996-1998,Porsche,GT1,Coupe,Hypercar,3.7 secs,205mph,80
2004-2007,Porsche,Carrera GT,Convertibl...,Supercar,3.9 secs,205mph,65
2013-2015,Porsche,918 Spyder,"Coupe, Ope...",Hypercar,2.6 secs,214mph,81
1980-1984,Renault,5 Turbo,Saloon,Rally,6.6 secs,120mph,47
1907-1918,Rolls-Royce,Silver Ghost Pre-WW1,Coachbuilt,"Pre-War, V...",20.0 secs,50-80mph,80
1918-1926,Rolls-Royce,Silver Ghost Post-WW1,Coachbuilt,Pre-War,20.0 secs,78mph,45
1922-1929,Rolls-Royce,Twenty,Coachbuilt,Grand Tour...,19.4 secs,62mph,35
1925-1939,Rolls-Royce,Phantom I-III,Coachbuilt,Grand Tour...,16.8 secs,91mph,39
1929-1936,Rolls-Royce,20/25,Coachbuilt,Grand Tour...,28.0 secs,75mph,38
1939-1959,Rolls-Royce,Wraith,Convertibl...,Grand Tour...,16.8 secs,105mph,40
1955-1966,Rolls-Royce,Silver Cloud,Saloon,Popular Cl...,13.0 secs,106-117mph,39
1959-1992,Rolls-Royce,Phantom V-VI,Limousine,Grand Tour...,13.0 secs,101mph,40
1971-1995,Rolls-Royce,Corniche,Convertibl...,Grand Tour...,10.0 secs,122mph,45
1975-1986,Rolls-Royce,Camargue,Coupe,Grand Tour...,9.5 secs,123mph,45
1967-1973,Rover,P5B 3.5,Saloon,Popular Cl...,11.5 secs,115mph,15
1978-1993,SAAB,900 Turbo,Convertibl...,Popular Cl...,8.5 secs,135mph,20
1965-1967,Shelby,Mustang GT350,Coupe,Grand Tour...,6.5 secs,130mph,65
1967-1970,Shelby,Mustang GT500,Convertibl...,Grand Tour...,5.5 secs,130mph,50
1951-1955,Siata,Daina,Convertibl...,Grand Tour...,19.0 secs,86mph,45
1952-1954,Siata,208,Convertibl...,Grand Tour...,14.0 secs,118mph,66
1962-1964,Studebaker,Avanti,Coupe,Popular Cl...,7.5 secs,150mph,30
1959-1968,Sunbeam,Alpine,Convertibl...,Popular Cl...,13.6 secs,99.5mph,30
1964-1967,Sunbeam,Tiger,Convertibl...,Popular Cl...,9.4 secs,117 - 125mph,35
1979-1983,Talbot,Sunbeam Lotus,Saloon,Popular Cl...,7.5 secs,125mph,32
1936-1939,Talbot-Lago,T150 SS Teardrop,Coachbuilt,Grand Tour...,17.0 secs,115mph,85
1947-1950,Talbot-Lago,T26 Lago Record Cabriolet,Convertibl...,Grand Tour...,15.0 secs,108mph,50
1936-1938,Tatra,T77,Saloon,-,18.0 secs,95mph,60
1964-1984,Toyota,FJ 40 Land Cruiser,Off Road/ ...,Popular Cl...,15.5 secs,97mph,25
1967-1970,Toyota,2000 GT,Coupe,Grand Tour...,9.9 secs,128mph,66
1953-1955,Triumph,TR2,Convertibl...,Popular Cl...,11.9 secs,105mph,36
1955-1962,Triumph,TR3,Convertibl...,Popular Cl...,11.4 secs,110mph,36
1961-1967,Triumph,TR4,Convertibl...,Popular Cl...,11.4 secs,109mph,33
1962-1980,Triumph,Spitfire,Convertibl...,Popular Cl...,16.2 secs,90-100mph,20
1967-1968,Triumph,TR5,Convertibl...,Popular Cl...,8.1 secs,117mph,34
1969-1976,Triumph,TR6,Convertibl...,Popular Cl...,8.2 secs,120mph,32
1970-1977,Triumph,Stag,Convertibl...,Popular Cl...,9.0 secs,120mph,28
1973-1980,Triumph,Dolomite Sprint,Saloon,Popular Cl...,8.4 secs,119mph,32
1947-1948,Tucker,Torpedo,Saloon,Film Star,10.0 secs,119mph,70
1958-1967,TVR,Grantura,Coupe,Popular Cl...,10.0 secs,111mph,35
1963-1965,TVR,Griffith,Coupe,Popular Cl...,6.9 secs,140mph,38
1989-1993,Vector,W8,Coupe,Supercar,4.2 secs,220mph,60
1940-1945,Volkswagen,Kübelwagen,Off Road/ ...,Military V...,-,50mph,40
1945-1953,Volkswagen,Beetle,Saloon,Popular Cl...,47.0 secs,66mph,12
1950-1967,Volkswagen,Microbus,Saloon,Family Car...,-,-,35
1955-1974,Volkswagen,Karmann Ghia,Coupe,Popular Cl...,23.0 secs,74-87mph,15
1976-1983,Volkswagen,Golf GTI Mk1,Saloon,Popular Cl...,8.8 secs,113mph,20
1961-1973,Volvo,P1800,Coupe,"Film Star,...",10.0 secs,104-115mph,25
1936-1938,Wanderer,W25,Coachbuilt,Grand Tour...,22.0 secs,60-90mph,42
